dataset: data/cora_ml, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.6099
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.5170
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.4427
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.5077
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.6533
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9205
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9205
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9205
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9205
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9210
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.7305
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.6674
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.7667
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.7124
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.7389
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.6780
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.7183
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.7368
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.6873
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.7028
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9486
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9574
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9414
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9486
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9491
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.8469
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.8428
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.8367
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.8344
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.8432
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.3839
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.4056
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.5077
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.6842
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.4056
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9205
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9205
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9205
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9205
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9215
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.6855
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.6415
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.6780
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.6811
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.9448
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.9530
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.8372
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.8442
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.4056
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.5356
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.9210
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.9210
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.7171
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.6688
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.7028
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.6935
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9506
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9462
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.8451
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.8279
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.6068
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.6378
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9225
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9215
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.6693
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.7783
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.7678
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.6192
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9501
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9394
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.8400
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.8372
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.5697
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.3467
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9205
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9205
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.7301
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.6507
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.8142
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.6347
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.9516
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.9423
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.8386
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.8386
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.4861
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.4396
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.9205
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.9205
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.7505
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.6442
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.6780
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.7988
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.9428
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.9433
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.8469
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.8330
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.3808
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.6873
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.9225
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.9205
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.6424
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.6888
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.6842
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.6625
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.6409
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.9365
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.9496
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.9491
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.8358
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.8344
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.8474
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.6563
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.7028
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.7059
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.9637
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.9414
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.9608
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.8367
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.8483
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 2, Test acc: 0.8493
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.7523
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.7028
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.7183
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9438
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9457
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9482
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.8372
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.8344
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.8363
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.7337
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.6594
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.5882
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9632
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9472
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.9593
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.8604
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.8173
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 4, Test acc: 0.8372
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.7647
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.7214
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.7740
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9486
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9501
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9409
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.8414
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.8409
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.8418
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.6873
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.6161
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.5449
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9598
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9520
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.9598
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.8256
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.8186
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 6, Test acc: 0.8233
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.7276
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.6285
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.6749
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.9506
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.9467
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.9457
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.8265
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.8326
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.8414
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.6687
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.6749
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.6718
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.9617
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.9535
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.9583
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.8279
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.8409
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 8, Test acc: 0.8316
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.6594
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.6409
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.7957
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.9491
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.9472
dataset: data/ms_academic.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.9477
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.8302
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.8363
dataset: data/pubmed.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.8539
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.6502
dataset: data/cora_ml.npz, GM: False, EM:False, V0:-1.0, DP-PPR epsilon: 0, DPSGD epsilon: 0, K: 10, Test acc: 0.6656
